1	Gonzaga 1	WCC	37-2	+32.05	118.4	16	86.3	1	70.1	76	+.020	133	+2.99	89	106.2	84	103.3	105	+1.01	127
2	Villanova 1	BE	32-4	+29.88	122.4	3	92.5	12	64.1	324	+.010	166	+9.33	33	109.8	38	100.5	32	+3.55	61
3	North Carolina 1	ACC	33-7	+28.22	120.7	9	92.5	11	71.3	40	+.037	85	+12.49	6	112.0	4	99.5	19	+3.87	53
4	Kentucky 2	SEC	32-6	+27.72	119.1	12	91.4	7	72.0	26	+.006	175	+10.98	19	110.5	24	99.5	15	+3.74	56
5	Florida 4	SEC	27-9	+27.50	116.9	25	89.5	5	69.0	117	-.041	286	+12.46	7	110.3	28	97.8	2	+8.19	15
6	Kansas 1	B12	31-5	+27.45	121.9	5	94.5	24	70.2	72	+.067	32	+12.43	8	111.2	10	98.8	8	+2.39	80
7	West Virginia 4	B12	28-9	+27.17	116.5	26	89.4	4	69.9	84	-.043	289	+10.84	21	110.1	34	99.2	12	-7.97	340
8	Wichita St. 10	MVC	31-5	+26.14	118.7	13	92.6	13	68.0	191	-.021	238	+1.50	102	105.0	130	103.5	110	-0.32	161
9	Louisville 2	ACC	25-9	+25.51	117.2	22	91.7	8	67.9	194	-.023	244	+11.14	17	111.6	7	100.5	33	+4.20	48
10	Oregon 3	P12	33-6	+25.02	118.2	17	93.2	17	67.0	234	+.034	88	+8.05	50	109.2	47	101.2	51	+0.51	137
11	SMU 6	Amer	30-5	+24.73	119.8	10	95.0	27	63.5	333	+.003	183	+3.25	88	105.3	117	102.1	70	-0.92	179
12	Virginia 5	ACC	23-11	+24.29	112.2	50	88.0	2	59.2	351	-.030	258	+11.68	10	111.5	8	99.8	22	+2.29	82
13	Baylor 3	B12	27-8	+24.23	117.1	23	92.9	16	63.7	328	+.023	126	+13.08	5	111.7	6	98.6	6	+1.67	110
14	Duke 2	ACC	28-9	+24.17	121.0	6	96.8	47	68.3	175	+.014	150	+11.43	12	111.0	13	99.6	21	+0.03	153
15	Saint Mary's 7	WCC	29-5	+23.67	118.7	14	95.0	26	60.2	350	+.030	99	+0.41	127	104.3	163	103.9	117	-4.13	277
16	UCLA 3	P12	31-5	+23.63	124.0	2	100.4	85	72.6	20	+.021	132	+5.17	74	108.0	67	102.8	89	-4.66	291
17	Iowa St. 5	B12	24-11	+23.45	119.7	11	96.3	42	68.4	170	-.019	234	+14.05	3	112.6	2	98.6	5	-0.74	175
18	Arizona 2	P12	32-5	+23.31	118.4	15	95.1	29	66.0	277	+.046	66	+7.13	59	108.7	56	101.5	60	+1.69	107
19	Purdue 4	B10	27-8	+23.12	117.0	24	93.9	23	69.1	113	+.016	142	+9.00	38	109.6	39	100.6	42	-2.38	224
20	Michigan 7	B10	26-12	+23.05	122.3	4	99.2	69	63.1	338	-.025	252	+10.76	23	110.3	26	99.5	18	-0.53	170
21	Wisconsin 8	B10	27-10	+22.99	115.1	33	92.1	9	63.4	334	-.003	193	+10.00	29	110.6	22	100.6	38	-1.29	193
22	Oklahoma St. 10	B12	20-13	+22.48	126.0	1	103.5	155	70.4	66	-.071	324	+14.42	1	112.0	5	97.6	1	+3.07	67
23	Cincinnati 6	Amer	30-6	+22.18	114.9	34	92.8	15	63.5	330	+.026	116	+4.17	80	107.1	75	103.0	94	-0.47	167
24	South Carolina 7	SEC	26-11	+20.80	108.9	91	88.1	3	68.6	145	-.005	197	+10.63	24	110.2	31	99.5	17	+1.93	96
25	Butler 4	BE	25-9	+20.76	117.7	20	97.0	49	65.9	278	+.002	185	+10.81	22	110.8	17	100.0	25	+5.12	40
26	Florida St. 3	ACC	26-9	+20.06	115.5	31	95.5	31	71.3	41	+.039	78	+8.82	40	110.6	19	101.8	68	-3.95	272
27	Notre Dame 5	ACC	26-10	+19.74	118.1	18	98.4	61	67.0	236	+.024	120	+10.24	28	110.1	35	99.8	23	-3.85	270
28	Creighton 6	BE	25-10	+18.83	115.3	32	96.5	46	71.2	45	+.004	181	+8.97	39	110.3	27	101.3	57	-1.24	192
30	Kansas St. 11	B12	21-14	+17.44	113.0	42	95.6	33	66.2	268	-.029	256	+11.56	11	110.6	20	99.0	11	-5.31	305
31	Xavier 11	BE	24-14	+16.70	115.7	29	99.0	67	67.2	223	+.044	71	+11.73	9	111.2	9	99.5	16	+5.32	38
32	Marquette 10	BE	19-13	+16.58	120.8	8	104.2	165	70.1	75	-.058	311	+9.03	37	109.1	50	100.1	27	-2.16	219
33	Vanderbilt 9	SEC	19-16	+16.53	112.4	48	95.9	38	65.8	285	-.048	292	+11.43	13	110.1	33	98.7	7	+6.30	32
34	Rhode Island 11	A10	25-10	+16.26	111.5	57	95.2	30	66.4	262	-.033	267	+4.27	78	106.8	79	102.5	79	+1.62	113
35	Arkansas 8	SEC	26-10	+16.25	116.1	28	99.8	76	69.7	87	+.086	9	+8.37	45	108.6	59	100.2	28	-1.55	202
36	Wake Forest 11	ACC	19-14	+16.25	120.9	7	104.7	176	70.7	57	-.043	290	+10.54	25	111.1	12	100.6	39	+4.51	45
37	Minnesota 5	B10	24-10	+16.00	109.7	77	93.7	22	69.5	98	+.022	127	+8.09	49	108.9	52	100.8	45	-1.81	209
38	Northwestern 8	B10	24-12	+15.81	111.3	59	95.5	32	65.6	292	+.019	135	+8.32	46	109.0	51	100.7	43	-3.23	249
39	Dayton 7	A10	24-8	+15.57	111.9	53	96.3	43	68.4	163	-.021	235	+3.64	82	105.9	90	102.3	75	+2.53	77
40	Michigan St. 9	B10	20-15	+15.51	111.4	58	95.9	37	66.9	241	-.011	214	+10.99	18	110.6	21	99.6	20	+4.01	51
41	Texas Tech	B12	18-14	+15.11	112.6	44	97.5	56	63.8	327	-.082	333	+7.89	53	109.5	44	101.6	61	-11.69	351
42	Miami FL 8	ACC	21-12	+15.03	109.9	76	94.9	25	63.0	339	+.031	98	+9.39	32	110.7	18	101.3	58	-4.48	286
43	Middle Tennessee 12	CUSA	31-5	+14.95	112.2	51	97.2	53	64.6	311	+.011	162	-0.93	154	104.4	158	105.3	165	+3.86	54
46	Maryland 6	B10	24-9	+14.34	113.1	41	98.7	64	67.2	219	+.061	39	+7.74	54	108.3	62	100.6	40	-1.10	188
